,мен,сен,сіз,ол,біз,сендер,сіздер,олар
,мен,сен,сіз,ол,біз,сендер,сіздер,олар
,менің,сенің,сіздің,оның,біздің,сендердің,сіздердің,олардың
,маған,саған,сізге,оған,бізге,сендерге,сіздерге,оларға
,мені,сені,сізді,оны,бізді,сендерді,сіздерді,оларды
,менен,сенен,сізден,одан,бізден,сендерден,сіздерден,олардан
,менде,сенде,сізде,онда,бізде,сендерде,сіздерде,оларда
,менімен,сенімен,сізбен,онымен,бізбен,сендермен,сіздермен,олармен
